Country,2018,2015,2012,2009,2006,2003,2000
Albania,405.0,405,394.0,385.0,,,349.0
Algeria,,350,,,,,
Argentina,402.0,425,,,,,
Australia,503.0,503,512.0,515.0,513.0,525.0,528.0
Austria,484.0,485,490.0,470.0,490.0,491.0,492.0
China,555.0,494,,,,,
Belgium,493.0,499,509.0,506.0,501.0,507.0,507.0
Brazil,413.0,407,407.0,412.0,393.0,403.0,396.0
Bulgaria,420.0,432,436.0,429.0,402.0,,430.0
Argentina CABA,,475,429.0,,,,
Canada,520.0,527,523.0,524.0,527.0,528.0,534.0
Chile,452.0,459,441.0,449.0,442.0,,410.0
Taiwan,503.0,497,523.0,495.0,496.0,,
Colombia,412.0,425,403.0,413.0,385.0,,
Costa Rica,426.0,427,441.0,,,,
Croatia,479.0,487,485.0,476.0,477.0,,
Cyprus,424.0,443,,,,,
Czech Republic,490.0,487,493.0,478.0,483.0,489.0,492.0
Denmark,501.0,500,496.0,495.0,494.0,492.0,497.0
Dominican Republic,342.0,358,,,,,
Estonia,523.0,519,516.0,501.0,501.0,,
Finland,520.0,526,524.0,536.0,547.0,543.0,546.0
France,493.0,499,505.0,496.0,488.0,496.0,505.0
Macedonia,,352,,,,,373.0
Georgia,380.0,401,,,,,
Germany,498.0,509,508.0,497.0,495.0,491.0,484.0
Greece,457.0,467,477.0,483.0,460.0,472.0,474.0
Hong Kong,524.0,527,545.0,533.0,536.0,510.0,525.0
Hungary,476.0,470,488.0,494.0,482.0,482.0,480.0
Iceland,474.0,482,483.0,500.0,484.0,492.0,507.0
Indonesia,371.0,397,396.0,402.0,393.0,382.0,371.0
Ireland,518.0,521,523.0,496.0,517.0,515.0,527.0
Israel,470.0,479,486.0,474.0,439.0,,452.0
Italy,476.0,485,490.0,486.0,469.0,476.0,487.0
Japan,504.0,516,538.0,520.0,498.0,498.0,522.0
Jordan,419.0,408,399.0,405.0,401.0,,
Kazakhstan,387.0,427,393.0,390.0,,,
South Korea,514.0,517,536.0,539.0,556.0,534.0,525.0
Kosovo,353.0,347,,,,,
Latvia,479.0,488,489.0,484.0,479.0,491.0,458.0
Lebanon,353.0,347,,,,,
Lithuania,476.0,472,477.0,468.0,470.0,,
Luxembourg,470.0,481,488.0,472.0,479.0,479.0,441.0
Macau,525.0,509,509.0,487.0,492.0,498.0,
Malaysia,415.0,431,398.0,,,,
Malta,448.0,447,,,,,
Mexico,420.0,423,424.0,425.0,410.0,400.0,422.0
Moldova,424.0,416,,,,,
Montenegro,421.0,427,422.0,408.0,392.0,,
Netherlands,485.0,503,511.0,508.0,507.0,513.0,
New Zealand,506.0,509,512.0,521.0,521.0,522.0,529.0
Norway,499.0,513,504.0,503.0,484.0,500.0,505.0
Peru,401.0,398,384.0,370.0,,,327.0
Poland,512.0,506,518.0,500.0,508.0,497.0,479.0
Portugal,492.0,498,488.0,489.0,472.0,478.0,470.0
Qatar,407.0,402,388.0,372.0,312.0,,
Romania,428.0,434,438.0,424.0,396.0,,428.0
Russia,479.0,495,475.0,459.0,440.0,442.0,462.0
Singapore,549.0,535,542.0,526.0,,,
Slovakia,458.0,453,463.0,477.0,466.0,469.0,
Slovenia,495.0,505,481.0,483.0,494.0,,
Spain,,496,488.0,481.0,461.0,481.0,493.0
Sweden,506.0,500,483.0,497.0,507.0,514.0,516.0
Switzerland,484.0,492,509.0,501.0,499.0,499.0,494.0
Thailand,393.0,409,441.0,421.0,417.0,420.0,431.0
Trinidad and Tobago,,427,,416.0,,,
Tunisia,,361,404.0,404.0,380.0,375.0,
Turkey,466.0,428,475.0,464.0,447.0,441.0,
United Arab Emirates,432.0,434,442.0,,,,
United Kingdom,504.0,498,499.0,494.0,495.0,507.0,523.0
United States,505.0,497,498.0,500.0,,495.0,504.0
Uruguay,427.0,437,411.0,426.0,413.0,434.0,
Vietnam,505.0,487,508.0,,,,
