Country,2018,2015,2012,2009,2006
Albania,417.0,427,397.0,391.0,
Algeria,,376,,,
Argentina,404.0,432,,,
Australia,503.0,510,521.0,527.0,527.0
Austria,490.0,495,506.0,494.0,511.0
China,590.0,518,,,
Belgium,499.0,502,505.0,507.0,510.0
Brazil,404.0,401,402.0,405.0,390.0
Bulgaria,424.0,446,446.0,439.0,434.0
Argentina CABA,,475,425.0,,
Canada,518.0,528,525.0,529.0,534.0
Chile,444.0,447,445.0,447.0,438.0
Taiwan,516.0,532,523.0,520.0,532.0
Colombia,413.0,416,399.0,402.0,388.0
Costa Rica,416.0,420,429.0,,
Croatia,472.0,475,491.0,486.0,493.0
Cyprus,439.0,433,,,
Czech Republic,497.0,493,508.0,500.0,513.0
Denmark,493.0,502,498.0,499.0,496.0
Dominican Republic,336.0,332,,,
Estonia,530.0,534,541.0,528.0,531.0
Finland,522.0,531,545.0,554.0,563.0
France,493.0,495,499.0,498.0,495.0
Macedonia,,384,,,
Georgia,383.0,411,,,
Germany,503.0,509,524.0,520.0,516.0
Greece,452.0,455,467.0,470.0,473.0
Hong Kong,517.0,523,555.0,549.0,542.0
Hungary,481.0,477,494.0,503.0,504.0
Iceland,475.0,473,478.0,496.0,491.0
Indonesia,396.0,403,382.0,383.0,393.0
Ireland,496.0,503,522.0,508.0,508.0
Israel,462.0,467,470.0,455.0,454.0
Italy,468.0,481,494.0,489.0,475.0
Japan,529.0,538,547.0,539.0,531.0
Jordan,429.0,409,409.0,415.0,422.0
Kazakhstan,397.0,456,425.0,400.0,
South Korea,519.0,516,538.0,538.0,522.0
Kosovo,365.0,378,,,
Latvia,487.0,490,502.0,494.0,490.0
Lebanon,384.0,386,,,
Lithuania,482.0,475,496.0,491.0,488.0
Luxembourg,477.0,483,491.0,484.0,486.0
Macau,544.0,529,521.0,511.0,511.0
Malaysia,438.0,443,420.0,,
Malta,457.0,465,,,
Mexico,419.0,416,415.0,416.0,410.0
Moldova,428.0,428,,,
Montenegro,415.0,411,410.0,401.0,412.0
Netherlands,503.0,509,522.0,522.0,525.0
New Zealand,508.0,513,516.0,532.0,530.0
Norway,490.0,498,495.0,500.0,487.0
Peru,404.0,397,373.0,369.0,
Poland,511.0,501,526.0,508.0,498.0
Portugal,492.0,501,489.0,493.0,474.0
Qatar,419.0,418,384.0,379.0,349.0
Romania,426.0,435,439.0,428.0,418.0
Russia,478.0,487,486.0,478.0,479.0
Singapore,551.0,556,551.0,542.0,
Slovakia,464.0,461,471.0,490.0,488.0
Slovenia,507.0,513,514.0,512.0,519.0
Spain,483.0,493,496.0,488.0,488.0
Sweden,499.0,493,485.0,495.0,503.0
Switzerland,495.0,506,515.0,517.0,512.0
Thailand,426.0,421,444.0,425.0,421.0
Trinidad and Tobago,,425,,410.0,
Tunisia,,386,398.0,401.0,386.0
Turkey,468.0,425,463.0,454.0,424.0
United Arab Emirates,434.0,437,448.0,,
United Kingdom,505.0,509,514.0,514.0,515.0
United States,502.0,496,497.0,502.0,489.0
Uruguay,426.0,435,416.0,427.0,428.0
Vietnam,543.0,525,528.0,,
